,Knowledge Ranking:,,,,,,,,,,,,Agree / Disagree,,,,
Student,Canine reproductive anatomy,Canine estrus cycle,Canine breeding soundness exams,Ovulation timing management,Recs for breeding/insemination,Management of canine gestation,Canine whelping,Canine c-sections,Neonatal and pediatric care,Puppy dev through placement,Canine genetics,Canine conformation / breed standards,There is a healthy relationship between canine breeders and small animal (general practice) veterinarians.,There is a community need for purebred and purpose bred dogs.,There is adequate educational material provided on canine breeding and whelping in the current Tufts pre-clinical curriculum.,"After graduation, I intend to practice in small animal (general practice) medicine with extensive canine breeder clientele.",I feel confident graduating from Tufts and practicing in small animal (general practice) medicine with extensive canine breeder clientele.
1,6,6,1,1,1,1,1,1,1,1,1,1,4,3,2,1,2
2,7,7,2,5,1,2,1,1,4,5,1,1,3,3,4,3,3
3,6,5,1,2,1,2,1,1,3,5,3,5,3,4,3,1,2
4,8,6,5,1,1,1,1,1,1,3,5,3,2,2,3,2,3
5,7,3,5,1,3,3,3,3,1,2,3,4,3,5,3,4,3
6,4,4,1,2,3,5,2,3,2,7,9,6,3,5,2,3,3
7,7,4,1,2,1,2,2,1,2,3,4,5,4,5,3,3,4
8,5,5,1,1,1,1,1,2,1,2,1,1,4,4,2,4,3
9,5,4,1,2,2,1,1,2,3,5,4,3,3,4,3,4,2
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,"1 (no knowledge) to 10 (most knowledgeable, expert level)",,,,,,,,,,,1,strongly disagree,
,,,,,,,,,,,,,,,2,disagree,
,,,,,,,,,,,,,,,3,neutral,
,,,,,,,,,,,,,,,4,agree,
,,,,,,,,,,,,,,,5,strongly agree,